NAME,VALUE
Census Tract 1.01,0%
Census Tract 1.02,6.60%
Census Tract 1.03,0.60%
Census Tract 1.04,0%
Census Tract 1.05,8.70%
Census Tract 101.01,2.50%
Census Tract 101.02,0.40%
Census Tract 102,1.20%
Census Tract 103,3.80%
Census Tract 104,1.10%
Census Tract 105,1.40%
Census Tract 106,0%
Census Tract 10,1.50%
Census Tract 11.01,11.30%
Census Tract 11.02,16%
Census Tract 12,0%
Census Tract 13.02,4.20%
Census Tract 13.03,0.90%
Census Tract 13.04,7.90%
Census Tract 2,3.30%
Census Tract 3,5.10%
Census Tract 4,6.40%
Census Tract 5,10.10%
Census Tract 6,3.30%
Census Tract 7,14.80%
Census Tract 8,-
Census Tract 9,2.90%
